Date,Open,High,Low,Close,Volume
2023-05-08,12400,12475,12325,12345,4729000
2023-05-02,12650,12790,12500,12585,4081900
2023-05-01,12300,12695,12215,12595,7559400
2023-04-28,12705,12835,12565,12830,4821200
2023-04-27,12400,12570,12350,12570,5018900
2023-04-26,12200,12215,12070,12140,2592300
2023-04-25,12300,12355,12290,12310,1945000
2023-04-24,12230,12360,12230,12285,1740500
2023-04-21,12280,12360,12235,12290,2396800
2023-04-20,12235,12375,12190,12325,2368800
2023-04-19,12220,12310,12210,12310,2455600
2023-04-18,12155,12215,12095,12190,3337500
2023-04-17,12085,12155,11995,12135,2185800
2023-04-14,12030,12110,11970,12110,3694800
2023-04-13,11900,12020,11890,11900,2520000
2023-04-12,11900,11995,11835,11995,2579200
2023-04-11,11790,11925,11770,11850,2591500
2023-04-10,11655,11785,11640,11675,1949000
2023-04-07,11540,11630,11535,11610,1964900
2023-04-06,11700,11705,11490,11555,3587300
2023-04-05,11935,11970,11775,11810,2837000
2023-04-04,11995,12055,11965,12015,3027000
2023-04-03,12090,12095,11945,12030,3256700
2023-03-31,11950,12015,11845,11985,4598700
2023-03-30,11755,11830,11645,11735,4079800
2023-03-29,11300,11505,11285,11495,3969900
2023-03-28,11495,11500,11245,11330,2853400
2023-03-27,11495,11520,11445,11450,2432900
2023-03-24,11540,11655,11530,11595,2459400
2023-03-23,11600,11615,11495,11580,3105900
2023-03-22,11700,11755,11610,11730,4256100
2023-03-20,11620,11725,11505,11560,3502800
2023-03-17,11465,11630,11415,11630,4444800
2023-03-16,11060,11290,11055,11235,3305500
2023-03-15,11460,11465,11235,11320,2811400
2023-03-14,11410,11435,11240,11285,3811400
2023-03-13,11525,11645,11405,11605,2723100
2023-03-10,11725,11795,11655,11700,4944400
2023-03-09,12000,12125,11975,12025,2607300
2023-03-08,11960,12120,11935,12060,3241300
2023-03-07,11885,11990,11825,11990,3250000
2023-03-06,11700,11895,11700,11840,3653000
2023-03-03,11465,11580,11400,11545,3369500
2023-03-02,11400,11450,11310,11380,1990300
2023-03-01,11405,11455,11320,11435,2285800
2023-02-28,11445,11515,11425,11430,2318400
2023-02-27,11230,11420,11215,11400,2045500
2023-02-24,11115,11355,11050,11355,3164900
2023-02-22,11135,11200,11085,11120,3307300
2023-02-21,11480,11495,11330,11350,2145000
2023-02-20,11395,11465,11230,11440,3178300
2023-02-17,11650,11685,11480,11480,3118100
2023-02-16,11745,11815,11705,11760,1901400
2023-02-15,11750,11830,11655,11705,2158500
2023-02-14,12000,12005,11750,11780,2251600
2023-02-13,11870,11910,11685,11710,2138900
2023-02-10,11885,11970,11810,11940,2804300
2023-02-09,11990,11990,11845,11945,2632700
2023-02-08,11995,12085,11945,11955,3080900
2023-02-07,11850,12065,11825,12055,3255500
2023-02-06,12300,12335,12005,12015,4249300
2023-02-03,12090,12200,11935,12200,9547900
2023-02-02,11405,11550,11320,11490,4194800
2023-02-01,11755,11795,11470,11470,3561400
2023-01-31,11770,11890,11560,11580,4077700
2023-01-30,11685,11695,11550,11600,2685500
2023-01-27,11650,11665,11575,11630,2674800
2023-01-26,11615,11650,11455,11515,3017900
2023-01-25,11600,11675,11575,11665,2238800
2023-01-24,11555,11685,11525,11670,3335100
2023-01-23,11530,11560,11420,11450,2815300
2023-01-20,11305,11455,11240,11430,3244300
2023-01-19,11430,11470,11310,11380,3618600
2023-01-18,11120,11385,11065,11350,3354600
2023-01-17,10955,11125,10875,11120,3019500
2023-01-16,10910,11060,10840,10855,2630300
2023-01-13,11040,11150,10940,10965,3403200
2023-01-12,11300,11320,11100,11145,3678400
2023-01-11,10850,11125,10800,11100,4538900
2023-01-10,10865,10920,10635,10725,3926000
2023-01-06,10375,10690,10355,10635,4107000
2023-01-05,10310,10510,10300,10385,4338600
2023-01-04,10120,10310,10035,10165,4024900
