Date,Open,High,Low,Close,Volume
2023-05-08,4205,4263,4195,4212,4051700
2023-05-02,4301,4319,4264,4273,2736900
2023-05-01,4253,4285,4241,4276,2834000
2023-04-28,4200,4253,4199,4248,4645500
2023-04-27,4158,4169,4141,4169,3208300
2023-04-26,4137,4173,4124,4164,3821800
2023-04-25,4116,4142,4112,4137,2316800
2023-04-24,4114,4130,4102,4115,2312100
2023-04-21,4128,4144,4106,4107,2542300
2023-04-20,4137,4143,4087,4125,3159700
2023-04-19,4124,4157,4119,4138,3475300
2023-04-18,4084,4149,4078,4149,3886900
2023-04-17,4069,4085,4062,4063,2331100
2023-04-14,4086,4087,4045,4063,5062100
2023-04-13,4040,4060,4037,4047,3072500
2023-04-12,4057,4083,4031,4032,3455500
2023-04-11,4015,4058,4015,4030,3554000
2023-04-10,4031,4060,4008,4011,2465300
2023-04-07,4056,4060,4026,4034,2895200
2023-04-06,4062,4065,4031,4049,4303700
2023-04-05,4095,4107,4053,4053,3910100
2023-04-04,4108,4118,4080,4094,4769400
2023-04-03,4092,4114,4072,4108,3030100
2023-03-31,4094,4102,4067,4093,5981000
2023-03-30,4104,4115,4055,4078,4321200
2023-03-29,4150,4170,4120,4167,5185800
2023-03-28,4127,4157,4118,4120,3657000
2023-03-27,4067,4104,4059,4094,3970400
2023-03-24,4060,4060,4021,4022,3432800
2023-03-23,4083,4084,4037,4041,4179500
2023-03-22,4062,4123,4062,4109,4222600
2023-03-20,4085,4086,4052,4064,3282800
2023-03-17,4046,4072,4041,4063,5518700
2023-03-16,3985,4042,3980,4042,4664500
2023-03-15,4052,4065,4012,4032,3977900
2023-03-14,4024,4035,3989,4035,5549800
2023-03-13,4095,4106,4045,4067,3507900
2023-03-10,4169,4169,4102,4113,7212100
2023-03-09,4124,4155,4122,4132,3920200
2023-03-08,4112,4131,4106,4111,3479400
2023-03-07,4031,4113,4027,4081,4526500
2023-03-06,4057,4074,4043,4052,2659400
2023-03-03,3991,4059,3990,4048,4691100
2023-03-02,3988,4007,3985,3988,3481200
2023-03-01,3988,4014,3977,3988,3015600
2023-02-28,4011,4025,3986,3986,4559400
2023-02-27,4025,4030,4008,4011,2624400
2023-02-24,3990,4035,3985,4034,3221600
2023-02-22,3995,4008,3985,3990,3920900
2023-02-21,4030,4037,4007,4009,3510100
2023-02-20,4004,4043,4002,4039,2242000
2023-02-17,3979,4004,3971,3991,3637500
2023-02-16,4010,4020,3995,4008,3645800
2023-02-15,4018,4047,4015,4023,2742100
2023-02-14,4013,4036,4002,4021,2805900
2023-02-13,3997,3999,3953,3990,3173700
2023-02-10,3995,3995,3952,3973,5614500
2023-02-09,3981,3986,3961,3961,3039700
2023-02-08,3950,3997,3948,3989,3382800
2023-02-07,4012,4015,3958,3968,3482600
2023-02-06,3918,3983,3912,3983,5536100
2023-02-03,3988,3988,3896,3912,7488600
2023-02-02,4050,4060,4007,4018,3280900
2023-02-01,4049,4064,4036,4038,3577500
2023-01-31,4060,4080,4054,4059,4139000
2023-01-30,4016,4047,4009,4038,3202500
2023-01-27,4080,4094,4016,4039,3735800
2023-01-26,4100,4115,4095,4108,3525700
2023-01-25,4110,4128,4089,4096,3810600
2023-01-24,4040,4106,4028,4100,4702700
2023-01-23,3994,4040,3985,4021,3725400
2023-01-20,3944,3985,3932,3984,4161500
2023-01-19,3882,3934,3862,3934,4695600
2023-01-18,3855,3948,3826,3912,4783600
2023-01-17,3848,3856,3825,3856,3257800
2023-01-16,3860,3864,3828,3837,3566500
2023-01-13,3948,3948,3877,3885,4910600
2023-01-12,3885,3903,3873,3890,3972700
2023-01-11,3940,3948,3900,3900,4053100
2023-01-10,3980,4003,3921,3921,4483200
2023-01-06,3992,3998,3973,3988,3196000
2023-01-05,4028,4031,3964,3971,3927300
2023-01-04,3990,4022,3965,4008,3721300
