Date,Open,High,Low,Close,Volume
2023-05-08,5130,5138,5075,5120,6944300
2023-05-02,5187,5213,5123,5170,8120100
2023-05-01,5182,5219,5135,5163,10380100
2023-04-28,5018,5103,4977,5094,10587700
2023-04-27,5053,5056,4948,4948,24461600
2023-04-26,4981,5048,4969,5040,8831200
2023-04-25,5039,5065,5018,5030,5705100
2023-04-24,5035,5119,5032,5054,8114700
2023-04-21,5025,5050,4975,4996,9374800
2023-04-20,5132,5141,5061,5094,8067900
2023-04-19,5190,5235,5139,5179,7132800
2023-04-18,5150,5214,5148,5186,6534000
2023-04-17,5120,5178,5120,5173,6198700
2023-04-14,5228,5229,5091,5120,11312800
2023-04-13,5145,5273,5121,5128,10389800
2023-04-12,5223,5311,5171,5178,9752200
2023-04-11,5139,5155,5102,5102,6772200
2023-04-10,5189,5190,5084,5100,7831400
2023-04-07,5230,5257,5146,5169,7031900
2023-04-06,5189,5245,5147,5228,9276900
2023-04-05,5261,5315,5193,5213,10338500
2023-04-04,5210,5254,5168,5244,8109900
2023-04-03,5260,5278,5194,5218,9469300
2023-03-31,5137,5298,5111,5182,17111600
2023-03-30,5190,5218,5035,5084,13158900
2023-03-29,5088,5205,5050,5190,17838400
2023-03-28,4992,4993,4831,4888,9577800
2023-03-27,4990,5004,4942,4957,5869700
2023-03-24,4950,4987,4910,4972,7941800
2023-03-23,4906,4975,4900,4960,8565500
2023-03-22,5000,5015,4912,4987,10272000
2023-03-20,4900,4965,4832,4851,10189600
2023-03-17,4876,4939,4852,4891,11392600
2023-03-16,4802,4950,4766,4897,14468000
2023-03-15,5113,5119,4922,4969,14835800
2023-03-14,5140,5147,5001,5040,14804500
2023-03-13,5248,5284,5155,5254,14731000
2023-03-10,5600,5610,5333,5343,19496300
2023-03-09,5726,5743,5657,5700,6416900
2023-03-08,5657,5709,5624,5689,7601600
2023-03-07,5735,5816,5715,5727,10150000
2023-03-06,5624,5777,5602,5708,11662300
2023-03-03,5650,5653,5503,5556,10973600
2023-03-02,5490,5610,5466,5583,9394900
2023-03-01,5485,5572,5484,5520,7438600
2023-02-28,5492,5547,5458,5517,8272300
2023-02-27,5530,5537,5456,5469,8404800
2023-02-24,5580,5644,5572,5595,6024500
2023-02-22,5600,5644,5574,5576,7462200
2023-02-21,5710,5720,5657,5700,5730900
2023-02-20,5755,5758,5710,5729,4384300
2023-02-17,5808,5841,5764,5764,7409500
2023-02-16,5840,5904,5783,5893,7728900
2023-02-15,5850,5877,5713,5791,8774600
2023-02-14,5879,5898,5797,5850,6173100
2023-02-13,5865,5867,5758,5812,6982000
2023-02-10,5950,5959,5858,5878,10693900
2023-02-09,5940,5975,5905,5949,7976200
2023-02-08,6016,6049,5820,5948,19442400
2023-02-07,6304,6328,6254,6268,5935700
2023-02-06,6379,6379,6318,6332,5791200
2023-02-03,6377,6407,6328,6328,7266800
2023-02-02,6313,6377,6297,6318,8485000
2023-02-01,6193,6268,6183,6254,7798800
2023-01-31,6163,6164,6118,6144,5862300
2023-01-30,6258,6272,6145,6164,7180300
2023-01-27,6257,6280,6182,6191,6181200
2023-01-26,6218,6228,6163,6198,6497100
2023-01-25,6130,6218,6125,6183,7476100
2023-01-24,6055,6222,6046,6187,13148800
2023-01-23,5982,6008,5937,5984,7436200
2023-01-20,5891,5895,5817,5882,6022500
2023-01-19,5999,6009,5851,5875,9958400
2023-01-18,5951,6131,5936,6099,10159900
2023-01-17,5902,5999,5853,5955,7750500
2023-01-16,5873,5900,5834,5846,6838500
2023-01-13,6024,6036,5896,5924,9932600
2023-01-12,5935,6033,5931,6024,7794300
2023-01-11,6038,6083,5948,5969,8738400
2023-01-10,5916,6041,5896,5953,10823000
2023-01-06,5727,5867,5717,5816,10450400
2023-01-05,5724,5784,5645,5745,11519500
2023-01-04,5555,5666,5533,5640,10686100
